cbg_norm,sampling_bias,abs_sampling_bias,representation_ratio_final,abs_bias_rank_pct
360610063001,-0.0108600898039247,0.0108600898039247,0.5517187493789824,0.9425663395129044
360610062001,-0.0018953209139898,0.0018953209139898,0.9287827191089406,0.2835332606324973
360610025001,-0.0015133321919115,0.0015133321919115,0.9514565656254744,0.23046165030897856
360610059003,-0.0118403327267305,0.0118403327267305,0.5012820619182814,0.96037804434751
360610015012,-0.0128227358058428,0.0128227358058428,0.5482702318803263,0.9736459469283897
360610002011,-0.0082209094349392,0.0082209094349392,0.3387355986408019,0.8536895674300254
360610038003,-0.010798687392286,0.010798687392286,0.4216577749068606,0.940385314431116
360610040003,-0.0065445086805397,0.0065445086805397,0.5573191269473312,0.7593602326426754
360610029004,-0.0097180720885494,0.0097180720885494,0.4948774753778022,0.9133042529989095
360610049002,-0.0113826552512582,0.0113826552512582,0.3254931035532732,0.9525627044711014
360610187001,-0.0156265593401042,0.0156265593401042,0.3599644932229036,0.9974554707379135
360610016002,-0.0055326387706403,0.0055326387706403,0.462491693407039,0.6819338422391857
360610068003,-0.0050138991112851,0.0050138991112851,0.6053263373243758,0.6364958197019266
360610229003,-0.005494317622862,0.005494317622862,0.825543334160332,0.6775717920756089
360610309002,-0.0034730149191302,0.0034730149191302,0.7567175761746794,0.4867320974191203
360610018005,0.0015322752009263,0.0015322752009263,1.191805517625831,0.2331879316612141
360610032003,-0.0053345170557224,0.0053345170557224,0.6803082487297593,0.6623046165030898
360610058001,-0.0050319202121349,0.0050319202121349,0.8786551365340626,0.6379498364231189
360610041004,-0.0124720338431023,0.0124720338431023,0.4598881065966616,0.9694656488549618
360610174012,-0.0039593877409944,0.0039593877409944,0.793311630794739,0.5378044347509996
360610030022,-0.0034016464783494,0.0034016464783494,0.7404454478306562,0.4776444929116685
360610002023,-0.006014414320131,0.006014414320131,0.6710165519405942,0.722464558342421
360610006002,-0.0135815304241074,0.0135815304241074,0.6119973640475657,0.9825517993456925
360610060001,-0.0124312123112618,0.0124312123112618,0.4891091123816549,0.9685568884042166
360610077003,-0.0051701508502069,0.0051701508502069,0.7291045519593322,0.6494002181025081
360610226002,0.0006336753418017,0.0006336753418017,1.0634572311122803,0.09396583060705198
360610090003,-0.0029706901238391,0.0029706901238391,0.7814098785129364,0.4211195928753181
360610130001,-0.0025372650192643,0.0025372650192643,0.6910757174146908,0.3653217011995638
360810108001,-0.0042133888139033,0.0042133888139033,0.7808633569693523,0.5621592148309705
360810110002,-0.0071872875382046,0.0071872875382046,0.7278812221741654,0.7993456924754635
360810110001,-0.001347699977366,0.001347699977366,0.9185415382273372,0.20519810977826244
