GEOID,populationE,med_ageE,med_hh_incomeE,bachelor_degree_25E,whiteE,blackE,asianE,hispanicE,kmeans_cluster_stability_check
360050516002,1261,47.1,127928.0,0.4282315622521808,0.8762886597938144,0.0,0.12371134020618557,0.15463917525773196,4
360050516004,773,63.3,76984.0,0.33247089262613194,0.6791720569210866,0.0,0.0,0.3208279430789133,0
360050516003,1255,46.5,71827.0,0.34422310756972113,0.7896414342629482,0.002390438247011952,0.055776892430278883,0.23107569721115537,0
360050389002,1251,22.0,21289.0,0.07833733013589128,0.34852118305355717,0.011191047162270184,0.0,0.6594724220623501,1
360050389003,1172,22.5,42683.0,0.12372013651877133,0.6757679180887372,0.06996587030716724,0.05204778156996587,0.24829351535836178,0
360050389004,1082,30.5,31250.0,0.16266173752310537,0.10166358595194085,0.20055452865064696,0.059149722735674676,0.7024029574861368,1
360050391003,1700,29.5,32326.0,0.1411764705882353,0.14470588235294118,0.3129411764705882,0.05529411764705883,0.4929411764705882,1
360050391001,844,23.0,27644.0,0.06279620853080568,0.2665876777251185,0.29976303317535546,0.0,0.7819905213270142,1
360050394001,847,35.8,30640.0,0.1038961038961039,0.05548996458087367,0.7201889020070839,0.0,0.24439197166469895,3
360050394002,2314,27.9,40000.0,0.0756266205704408,0.08902333621434745,0.6750216076058773,0.0,0.3003457216940363,3
360050342001,867,34.8,51875.0,0.1580161476355248,0.13494809688581316,0.5686274509803921,0.02422145328719723,0.32525951557093424,3
360050370001,1161,37.8,55395.0,0.06890611541774333,0.03789836347975883,0.8363479758828596,0.0,0.12661498708010335,3
360050372001,790,35.6,42581.0,0.189873417721519,0.02911392405063291,0.6075949367088608,0.0,0.28860759493670884,3
360050399022,707,26.9,11776.0,0.042432814710042434,0.1272984441301273,0.3465346534653465,0.0,0.7567185289957568,1
360050399023,1081,33.4,25150.0,0.16003700277520813,0.09990749306197964,0.27567067530064754,0.0730804810360777,0.7049028677150786,1
360050426001,957,45.6,117557.0,0.27899686520376177,0.022988505747126436,0.8338557993730408,0.0,0.14315569487983282,3
360050386004,471,34.9,79286.0,0.12526539278131635,0.0,1.0,0.0,0.0,3
360050386002,818,33.9,66676.0,0.13447432762836187,0.0,1.0,0.0,0.04523227383863081,3
360050123003,1060,39.3,19219.0,0.010377358490566037,0.13867924528301886,0.30377358490566037,0.0,0.8018867924528302,1
360050123002,1465,36.6,49219.0,0.19112627986348124,0.07645051194539249,0.27030716723549486,0.017064846416382253,0.6812286689419795,1
360050133003,1232,36.7,26399.0,0.032467532467532464,0.03896103896103896,0.14285714285714285,0.0,0.8717532467532467,1
360050133002,1714,29.4,33750.0,0.052508751458576426,0.1528588098016336,0.5110851808634772,0.09218203033838973,0.3733955659276546,1
360050133001,1742,31.2,17927.0,0.02066590126291619,0.18714121699196326,0.4006888633754305,0.023536165327210104,0.6802525832376579,1
360050144001,351,77.1,11319.0,0.0,0.6182336182336182,0.18803418803418803,0.0,0.9572649572649573,1
360050144003,695,29.7,24531.0,0.06618705035971223,0.0,0.8071942446043165,0.0,0.520863309352518,3
360050286002,506,43.5,73393.0,0.33992094861660077,0.5335968379446641,0.01383399209486166,0.31225296442687744,0.22134387351778656,0
360050289001,1021,40.7,74250.0,0.13222331047992164,0.7267384916748286,0.07247796278158668,0.0,0.8393731635651323,1
360050289002,2045,28.2,41626.0,0.14621026894865527,0.25574572127139367,0.08215158924205379,0.020048899755501223,0.8122249388753057,1
360050289003,989,56.8,59115.0,0.4256825075834176,0.58948432760364,0.13549039433771487,0.08190091001011122,0.4155712841253792,0
360050312002,689,42.5,73636.0,0.3367198838896952,0.6429608127721336,0.011611030478955007,0.26850507982583455,0.14223512336719885,0
360050312001,909,43.1,95417.0,0.2871287128712871,0.33443344334433445,0.5522552255225522,0.039603960396039604,0.21122112211221122,3
360050189003,2568,33.7,34426.0,0.10358255451713395,0.17172897196261683,0.28738317757009346,0.0050623052959501555,0.7149532710280374,1
360050189004,1375,35.9,21250.0,0.03127272727272727,0.10763636363636364,0.232,0.0,0.7541818181818182,1
360050199004,2353,32.6,34095.0,0.042923926901827454,0.08542286442838928,0.2626434339141521,0.0,0.7981300467488313,1
360050199002,1410,34.9,27721.0,0.16099290780141845,0.2801418439716312,0.2028368794326241,0.0,0.8276595744680851,1
360050199005,1247,33.6,70913.0,0.1467522052927025,0.0,0.7169206094627105,0.0,0.31756214915797915,3
360050202001,1149,35.0,62981.0,0.18624891209747607,0.25935596170583114,0.13577023498694518,0.11488250652741515,0.6910356832027851,1
360050202002,1103,35.8,23309.0,0.09247506799637353,0.22937443336355395,0.1686310063463282,0.1631912964641886,0.6010879419764279,1
360050206011,1223,31.3,51779.0,0.13900245298446443,0.14227309893704007,0.13000817661488143,0.3172526573998365,0.4652493867538839,1
360050211003,1143,31.2,16927.0,0.03062117235345582,0.10673665791776028,0.2887139107611549,0.019247594050743656,0.757655293088364,1
360050211004,1049,32.2,37871.0,0.07435653002859867,0.0,0.2449952335557674,0.0,0.7473784556720686,1
360050211001,1288,25.0,28359.0,0.05822981366459627,0.04192546583850932,0.515527950310559,0.007763975155279503,0.5986024844720497,1
360050407021,878,36.5,55086.0,0.22323462414578588,0.4544419134396355,0.3439635535307517,0.0,0.6002277904328018,1
360050407022,1415,30.6,25809.0,0.08763250883392226,0.0657243816254417,0.08551236749116607,0.03180212014134275,0.8946996466431095,1
360050157003,1846,29.3,43393.0,0.08396533044420368,0.2047670639219935,0.10888407367280607,0.0,0.9117009750812568,1
360050157002,1462,32.6,19167.0,0.10465116279069768,0.07523939808481532,0.45896032831737343,0.07455540355677155,0.5807113543091655,1
360050380001,1371,47.4,52500.0,0.3223924142961342,0.04741064916119621,0.7315827862873815,0.0700218818380744,0.2538293216630197,3
360050227011,1071,33.6,34653.0,0.11671335200746966,0.20074696545284781,0.49859943977591037,0.0,0.5228758169934641,1
360050227013,2077,28.1,33393.0,0.12084737602311026,0.09099662975445354,0.44342802118440056,0.015888300433317286,0.5517573423206548,1
360050336002,1196,27.9,38073.0,0.10117056856187291,0.11036789297658862,0.2265886287625418,0.10451505016722408,0.6505016722408027,1
360050336001,1938,36.0,59964.0,0.18008255933952527,0.24458204334365324,0.42105263157894735,0.016511867905056758,0.5856553147574819,1
360050343001,847,43.4,88036.0,0.26564344746162927,0.5371900826446281,0.2668240850059032,0.0,0.40968122786304606,0
360050020003,2748,27.4,15691.0,0.012008733624454149,0.4017467248908297,0.40502183406113534,0.0,0.7016011644832606,1
360050020002,2075,36.9,38313.0,0.11421686746987952,0.43373493975903615,0.32,0.0,0.7489156626506024,1
360050020004,1190,21.9,15060.0,0.030252100840336135,0.11596638655462185,0.6722689075630253,0.024369747899159664,0.2865546218487395,3
360050069004,1900,19.4,18897.0,0.029473684210526315,0.010526315789473684,0.43157894736842106,0.0,0.5721052631578948,1
360050069001,3638,28.9,48634.0,0.2045079714128642,0.09978009895547003,0.3966465090709181,0.0,0.6085761407366685,1
360050160001,2078,43.2,67361.0,0.1496631376323388,0.6198267564966313,0.0,0.019249278152069296,0.5346487006737247,0
360050160003,884,44.0,50938.0,0.23868778280542988,0.5633484162895928,0.032805429864253395,0.10180995475113122,0.3427601809954751,0
360050084001,869,36.0,79375.0,0.2186421173762946,0.18181818181818182,0.286536248561565,0.1806674338319908,0.42922899884925203,1
360050092003,2433,34.0,52243.0,0.11467324290998766,0.2240032881216605,0.21537196876284423,0.10480887792848335,0.5002055076037814,1
360050092002,844,29.1,39722.0,0.08056872037914692,0.20734597156398105,0.12322274881516587,0.23459715639810427,0.5284360189573459,1
360050127012,932,33.6,31375.0,0.1276824034334764,0.27682403433476394,0.23819742489270387,0.06974248927038626,0.721030042918455,1
